Date,Price,High,Low,Close,Adj Close,Volume
20231025,22.07,22.209999,21.700001,21.85,21.471251,87100
20231026,22.0,22.0,21.34,21.52,21.146971,80700
20231027,21.379999,21.469999,21.0,21.18,20.812864,238300
20231030,21.48,21.92,21.280001,21.450001,21.078184,115800
20231031,21.34,21.709999,21.25,21.6,21.225584,100400
20231101,21.459999,21.459999,20.91,21.18,20.812864,106600
20231102,21.59,22.959999,21.59,22.93,22.53253,126500
20231103,23.17,23.82,23.059999,23.25,22.960131,102200
20231106,23.02,23.02,22.41,22.969999,22.68362,67300
20231107,22.959999,23.32,22.48,23.120001,22.831751,89600
20231108,23.17,23.27,22.469999,22.83,22.545364,178900
20231109,20.66,22.07,18.059999,21.17,20.906063,514700
20231110,21.280001,21.280001,20.280001,20.969999,20.708555,235200
20231113,20.91,21.52,20.110001,20.15,19.898779,221100
20231114,20.85,22.27,20.610001,22.0,21.725714,310300
20231115,22.139999,22.629999,21.379999,21.709999,21.439327,169600
20231116,21.610001,21.870001,21.1,21.4,21.133194,170400
20231117,21.620001,22.639999,21.200001,22.58,22.298485,172200
20231120,22.700001,22.74,21.790001,22.030001,21.755342,166300
20231121,21.809999,22.34,21.629999,22.110001,21.834345,80800
20231122,22.200001,22.66,22.0,22.42,22.140478,74100
20231124,22.530001,22.85,22.32,22.709999,22.426861,45500
20231127,22.42,22.74,22.25,22.379999,22.100977,99900
20231128,22.6,22.77,22.1,22.57,22.288609,67100
20231129,22.799999,23.030001,22.129999,22.309999,22.031849,97800
20231130,22.360001,22.860001,22.049999,22.59,22.308359,113400
20231201,22.5,23.27,22.450001,23.15,22.861378,101900
20231204,23.15,23.66,23.15,23.51,23.216888,85400
20231205,23.309999,23.52,22.889999,23.43,23.137888,138800
20231206,23.77,24.1,23.530001,23.57,23.27614,83600
20231207,23.57,24.58,23.32,24.559999,24.253798,134500
20231208,24.5,25.309999,24.5,24.91,24.599434,83900
20231211,24.66,25.01,24.34,24.700001,24.392054,98400
20231212,24.530001,24.629999,24.23,24.35,24.046417,62300
20231213,24.209999,25.17,23.799999,25.049999,24.737686,168300
20231214,25.77,26.389999,25.15,25.459999,25.142576,122900
20231215,25.719999,25.719999,24.83,25.120001,24.806818,196600
20231218,24.950001,25.299999,24.5,25.120001,24.806818,92800
20231219,25.25,25.540001,24.99,25.360001,25.043823,138200
20231220,25.469999,25.719999,24.639999,24.639999,24.3328,227500
20231221,24.77,25.129999,24.57,25.120001,24.806818,142800
20231222,25.139999,25.49,24.879999,25.219999,24.905569,114500
20231226,25.110001,25.4,24.99,25.35,25.033949,77000
20231227,25.379999,25.450001,25.17,25.309999,24.994446,99600
20231228,25.02,25.469999,25.01,25.290001,24.974697,72900
20231229,25.129999,25.51,24.85,25.01,24.698187,70000
20240102,25.17,25.440001,25.01,25.110001,24.796942,59900
20240103,25.01,25.01,24.24,24.370001,24.066168,110000
20240104,24.48,24.559999,24.16,24.370001,24.066168,70800
20240105,24.139999,25.16,24.02,24.700001,24.392054,194500
20240108,24.84,25.219999,24.440001,24.700001,24.392054,131100
20240109,24.370001,24.540001,24.209999,24.49,24.184669,65800
20240110,24.280001,24.57,24.17,24.280001,23.977289,72800
20240111,24.110001,24.26,23.459999,23.73,23.434145,115700
20240112,24.1,24.15,23.719999,23.9,23.602026,75600
20240116,23.84,24.02,23.450001,23.559999,23.266266,69900
20240117,23.15,23.459999,23.049999,23.25,22.960131,68800
20240118,23.379999,23.440001,22.91,23.200001,22.910753,78400
20240119,23.33,23.450001,22.84,23.41,23.118134,112500
20240122,23.549999,24.59,23.5,24.559999,24.253798,87900
20240123,24.870001,25.0,24.17,24.700001,24.392054,96800
20240124,24.77,24.91,24.09,24.219999,23.918036,65600
20240125,24.690001,25.25,24.52,25.17,24.856194,99400
20240126,25.33,25.639999,25.110001,25.309999,24.994446,156400
20240129,25.299999,25.48,24.799999,25.379999,25.063574,124800
20240130,25.17,25.48,24.99,25.219999,24.905569,60500
20240131,25.17,25.459999,24.48,24.709999,24.401926,101900
20240201,24.74,25.34,24.51,25.219999,24.905569,73700
20240202,24.719999,24.91,24.5,24.799999,24.601032,72200
20240205,24.66,24.66,24.07,24.09,23.896729,62600
20240206,23.98,24.280001,23.73,23.82,23.628895,98200
20240207,23.84,23.84,23.0,23.120001,22.934511,59300
20240208,23.120001,23.66,22.959999,23.530001,23.341223,81200
20240209,23.620001,24.58,23.620001,24.35,24.154644,85000
20240212,24.549999,25.5,24.549999,25.299999,25.097019,73400
20240213,24.43,24.73,24.280001,24.32,24.124884,104300
20240214,24.84,25.049999,24.530001,24.860001,24.660551,67100
20240215,25.08,25.59,24.83,25.4,25.196218,93800
20240216,25.1,25.690001,25.030001,25.66,25.454134,68900
20240220,25.190001,25.629999,24.84,25.18,24.977985,72100
20240221,25.15,25.42,24.82,25.08,24.878786,75800
20240222,25.65,27.469999,24.9,25.58,25.374775,184000
20240223,25.57,26.809999,25.57,26.4,26.188196,167600
20240226,26.32,26.450001,25.07,25.26,25.057341,119000
20240227,25.42,25.709999,25.049999,25.08,24.878786,82100
20240228,25.0,25.360001,24.620001,24.639999,24.442316,92200
20240229,25.07,25.23,24.75,24.82,24.620872,80400
20240301,24.75,24.77,24.1,24.41,24.214163,102500
20240304,24.549999,25.200001,24.49,24.809999,24.610952,70400
20240305,24.549999,24.83,24.290001,24.5,24.30344,72700
20240306,24.6,25.440001,24.6,25.290001,25.087101,80000
20240307,25.41,25.700001,25.120001,25.66,25.454134,104500
20240308,25.799999,26.35,25.58,25.9,25.692207,108000
20240311,25.67,26.110001,25.58,25.98,25.771566,56400
20240312,26.559999,26.559999,26.01,26.35,26.138597,93000
20240313,26.059999,26.5,25.870001,26.139999,25.930281,101500
20240314,25.9,26.190001,24.860001,25.370001,25.16646,89600
20240315,25.129999,25.83,25.129999,25.58,25.374775,185500
20240318,25.52,25.57,25.15,25.450001,25.245819,67700
20240319,25.450001,26.01,25.450001,25.98,25.771566,72900
20240320,25.98,26.59,25.780001,26.58,26.366753,163600
20240321,26.9,27.059999,26.709999,26.799999,26.584986,130800
20240322,26.620001,26.620001,26.139999,26.35,26.138597,100800
20240325,26.33,26.690001,26.32,26.59,26.376673,92800
20240326,26.889999,27.110001,26.49,26.559999,26.346912,94700
20240327,26.559999,27.26,26.559999,27.01,26.793303,98300
20240328,27.02,27.290001,26.879999,27.040001,26.823063,77200
20240401,27.040001,27.040001,26.360001,26.52,26.307234,95000
20240402,26.25,26.459999,25.549999,25.58,25.374775,80300
20240403,25.440001,25.9,25.42,25.76,25.553331,59000
20240404,25.98,26.049999,24.92,24.99,24.789509,92800
20240405,24.85,25.15,24.66,24.99,24.789509,64500
20240408,25.200001,25.66,25.040001,25.5,25.295416,70500
20240409,25.5,25.57,25.110001,25.26,25.057341,62900
20240410,24.68,24.73,23.9,24.190001,23.995928,96600
20240411,24.4,24.709999,24.25,24.690001,24.491915,80900
20240412,24.51,24.66,24.190001,24.24,24.045527,49100
20240415,24.440001,24.9,23.98,24.07,23.876888,73700
20240416,23.969999,23.969999,23.629999,23.74,23.549538,61400
20240417,23.85,23.99,23.309999,23.32,23.132906,65300
20240418,23.35,23.690001,23.200001,23.57,23.380901,87300
20240419,23.49,24.290001,23.49,24.0,23.807451,89900
20240422,24.280001,25.040001,24.07,24.93,24.72999,118000
20240423,24.75,25.49,24.75,25.18,24.977985,87600
20240424,25.059999,25.620001,24.9,25.42,25.216059,116300
20240425,24.9,24.940001,24.549999,24.709999,24.511753,60000
20240426,24.700001,25.059999,24.629999,24.92,24.72007,155400
20240429,25.049999,26.16,25.049999,26.1,25.890602,84100
20240430,25.82,26.120001,25.5,25.58,25.374775,135800
20240501,25.66,26.0,25.42,25.809999,25.60293,59000
20240502,27.0,28.18,25.17,25.65,25.444214,245300
20240503,26.129999,26.559999,25.49,26.0,25.905531,127900
20240506,26.309999,26.309999,25.540001,25.74,25.646475,92700
20240507,25.799999,26.120001,25.48,25.559999,25.467129,99600
20240508,25.440001,25.889999,25.440001,25.549999,25.457165,417900
20240509,25.73,26.41,25.530001,26.309999,26.214403,100300
20240510,26.299999,26.299999,25.780001,26.02,25.925459,166500
20240513,26.200001,26.719999,26.129999,26.540001,26.443569,167200
20240514,26.91,27.24,26.290001,26.540001,26.443569,100800
20240515,26.799999,26.799999,26.190001,26.440001,26.343933,154600
20240516,26.559999,26.700001,26.25,26.690001,26.593023,97800
20240517,26.799999,27.5,26.639999,27.07,26.971642,138400
20240520,27.059999,27.190001,26.549999,26.559999,26.463495,54400
20240521,26.530001,26.620001,26.23,26.559999,26.463495,64300
20240522,26.23,26.59,26.139999,26.4,26.304077,75300
20240523,26.4,26.639999,26.26,26.48,26.383785,88100
20240524,26.530001,26.809999,26.370001,26.719999,26.622913,95700
20240528,26.889999,27.190001,26.59,26.629999,26.533241,68300
20240529,26.32,26.700001,26.209999,26.209999,26.114767,138200
20240530,26.26,26.75,26.219999,26.620001,26.523279,79500
20240531,26.68,27.309999,26.549999,26.889999,26.792295,567100
20240603,27.219999,27.219999,26.360001,26.440001,26.343933,144500
20240604,27.24,28.43,27.0,27.940001,27.838482,338400
20240605,28.02,28.799999,27.790001,28.629999,28.525974,274600
20240606,28.379999,29.08,28.379999,28.809999,28.70532,101200
20240607,28.440001,28.74,28.33,28.34,28.237028,102900
20240610,28.01,28.49,27.77,28.4,28.29681,123500
20240611,28.200001,28.25,27.85,27.91,27.80859,80800
20240612,28.940001,29.549999,28.700001,29.0,28.89463,232400
20240613,28.92,29.52,28.43,29.129999,29.024157,166600
20240614,28.6,29.1,28.01,28.120001,28.017828,102900
20240617,27.879999,28.190001,27.52,27.540001,27.439936,77800
20240618,27.66,27.73,27.17,27.33,27.230698,77600
20240620,27.280001,27.459999,26.85,26.92,26.822187,57600
20240621,26.940001,27.879999,26.93,27.280001,27.18088,178800
20240624,27.360001,27.969999,27.200001,27.370001,27.270554,90100
20240625,27.370001,27.370001,26.889999,27.08,26.981606,81500
20240626,26.9,27.51,26.799999,26.9,26.802259,135900
20240627,27.09,27.09,26.450001,26.93,26.832151,152100
20240628,27.17,27.389999,26.459999,26.84,26.742479,351300
20240701,27.040001,27.040001,26.309999,26.51,26.413677,67600
20240702,26.59,27.4,26.51,27.389999,27.29048,147700
20240703,27.709999,27.709999,26.870001,27.18,27.081244,60200
20240705,27.1,27.219999,26.059999,26.18,26.084877,92600
20240708,26.370001,26.68,26.190001,26.309999,26.214403,68100
20240709,26.18,26.4,25.879999,26.02,25.925459,49700
20240710,26.16,26.280001,25.84,26.280001,26.184513,34200
20240711,26.860001,27.66,26.73,27.450001,27.350264,114100
20240712,27.84,28.139999,27.559999,27.66,27.5595,118600
